"tweet","time","tweeter","number_of_retweets","number_of_favourites""b'If Iran is able to turn over to the U.S. kidnapped former FBI Agent Robert A. Levinson, who has been missing in Ira\xe2\x80\xa6 https://t.co/NFxR4gJCei'",2019-11-11 02:25:09,realDonaldTrump,18773,75052
b'RT @parscale: Adam Schiff is running the Democrat sham impeachment but now it\xe2\x80\x99s time you got your say!\n\nBULL-SCHIFF!\n\nGet your 100% cotton\xe2\x80\xa6',2019-11-22 05:23:25,realDonaldTrump,8551,0
"b'RT @TeamTrump: In 2016, President @realDonaldTrump asked African Americans, \xe2\x80\x9cWhat do you have to lose?\xe2\x80\x9d\n\nIn 2020, it is now \xe2\x80\x9cimagine all th\xe2\x80\xa6'",2019-11-22 05:22:06,realDonaldTrump,8626,0
b'RT @GOPChairwoman: House Democrats have been trying to invalidate the will of the American people since Day 1.\n \nWe won\xe2\x80\x99t let them take awa\xe2\x80\xa6',2019-11-22 05:21:51,realDonaldTrump,8223,0
"b'RT @GeraldoRivera: And so it begins. If #CNN exclusive is confirmed, big trouble at the #FBI Allegation according to @evanperez their excel\xe2\x80\xa6'",2019-11-22 05:21:36,realDonaldTrump,9072,0
b'RT @TeamTrump: .@LaraLeaTrump and @parscale bring Team Trump to Oregon and Arizona to rally supporters!\n\nArizona is ready to stay red in 20\xe2\x80\xa6',2019-11-22 05:20:21,realDonaldTrump,5257,0
b'https://t.co/h92LyjD0Eh',2019-11-22 04:36:49,realDonaldTrump,9196,29721
"b'Thank you @EliseStefanik and @SteveScalise, GREAT JOB! https://t.co/K8qQbCAXbj'",2019-11-22 04:09:52,realDonaldTrump,12290,42020
b'https://t.co/HvYx12NUkS',2019-11-22 04:04:59,realDonaldTrump,16523,50277
b'MARK LEVIN ON IMPEACHMENT HYSTERIA! https://t.co/sFT4qGqajO',2019-11-22 04:00:48,realDonaldTrump,13840,39507
b'RT @MariaBartiromo: https://t.co/0C9RAE0ALX join me for my exclusive tomorrow w @carterwpage @MorningsMaria @FoxBusiness 6-9am et. Find out\xe2\x80\xa6',2019-11-22 03:54:03,realDonaldTrump,9670,0
"b'""SCHIFF\'S CHARADE"" @SeanHannity https://t.co/Go2HsiEyTT'",2019-11-22 03:39:44,realDonaldTrump,11000,34703
"b'SCHIFF\'S ""FACT"" WITNESSES! https://t.co/Pab2y1BVoN'",2019-11-22 02:35:31,realDonaldTrump,43706,115853
"b'RT @senatemajldr: Every time the Trump administration meets Speaker Pelosi halfway on the USMCA, she tries to move the goalposts. The Speak\xe2\x80\xa6'",2019-11-21 20:51:11,realDonaldTrump,20109,0
